X,Y,fid,id,Plan Info,icon_url
6.56112510167275,60.4331179283167,92,,Skap,./0.png
6.55874380050864,60.4321069669353,93,,1x25mm,./0.png
6.55848556588766,60.4321784044155,94,,Kabling via bygg,./0.png
6.56185918638808,60.433356932118,95,,1x25mm,./0.png
6.56342787064996,60.4333547309107,96,,Skap,./0.png
6.45934587199959,60.3734029546265,97,,2x40mm,./0.png
6.50062064559747,60.3846341703119,98,,2x40mm,./0.png
6.52809993177413,60.415332834752,99,,?,./0.png
6.53723817167233,60.4170473118304,100,,2x40mm,./0.png
6.56046384843693,60.4330208322669,101,,1x25mm,./0.png
6.56118200551467,60.4330148485855,102,,1x8mm,./0.png
6.5605948094249,60.433747068785,103,,2x25mm,./0.png
6.56263306971634,60.432686681363,104,,2x40mm,./0.png
6.56351933064148,60.4326880804741,105,,2x40mm,./0.png
6.56324957688729,60.4334585426677,106,,1x25mm,./0.png
